# Hugo Symbol	Entrez Gene ID	# of occurrence within resources	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
HLA-A	3105	3	1	1	0	0	0	1
HLA-B	3106	1	1	0	0	0	0	0
MNX1	3110	2	0	0	0	1	0	1
HLF	3131	2	0	0	0	1	0	1
HMGA1	3159	2	0	0	0	1	0	1
FOXA1	3169	2	1	0	0	0	0	1
HNRNPA2B1	3181	1	0	0	0	0	0	1
TLX1	3195	2	0	0	0	1	0	1
HOXA3	3200	1	0	0	0	1	0	0
HOXA9	3205	2	0	0	0	1	0	1
HOXA11	3207	2	0	0	0	1	0	1
HOXA13	3209	2	0	0	0	1	0	1
HOXC11	3227	2	0	0	0	1	0	1
HOXC13	3229	2	0	0	0	1	0	1
HOXD11	3237	2	0	0	0	1	0	1
HOXD13	3239	2	0	0	0	1	0	1
HRAS	3265	6	1	1	1	1	1	1
HSD3B1	3283	1	0	0	1	0	0	0
HSP90AA1	3320	3	0	0	1	1	0	1
HSP90AB1	3326	2	0	0	0	1	0	1
DNAJB1	3337	2	1	0	0	0	0	1
IRF8	3394	2	0	1	0	1	0	0
ID3	3399	3	1	1	0	1	0	0
IDH1	3417	6	1	1	1	1	1	1
IDH2	3418	6	1	1	1	1	1	1
IFNGR1	3459	1	1	0	0	0	0	0
IGF1	3479	2	1	1	0	0	0	0
IGF1R	3480	4	1	1	1	1	0	0
IGF2	3481	3	1	1	1	0	0	0
IGH	3492	2	0	0	0	1	0	1
IGL	3535	2	0	0	0	1	0	1
IKBKB	3551	1	0	0	0	0	0	1
IL2	3558	1	0	0	0	0	0	1
IL3	3562	1	0	0	0	1	0	0
IL6ST	3572	1	0	0	0	0	0	1
IL7R	3575	5	1	1	1	1	0	1
IL10	3586	1	1	0	0	0	0	0
INHA	3623	1	1	0	0	0	0	0
INHBA	3624	3	1	0	1	1	0	0
INPP4A	3631	1	1	0	0	0	0	0
INPP5D	3635	1	0	0	0	1	0	0
INPPL1	3636	1	1	0	0	0	0	0
INSR	3643	1	1	0	0	0	0	0
EIF3E	3646	1	0	0	0	0	0	1
IRF1	3659	2	0	1	0	1	0	0
IRF2	3660	1	0	0	1	0	0	0
IRF4	3662	5	1	1	1	1	0	1
IRS1	3667	1	1	0	0	0	0	0
ITK	3702	2	0	0	0	1	0	1
JAK1	3716	6	1	1	1	1	1	1
JAK2	3717	6	1	1	1	1	1	1
JAK3	3718	6	1	1	1	1	1	1
JARID2	3720	2	0	1	0	1	0	0
JUN	3725	5	1	1	1	1	0	1
KCNJ5	3762	1	0	0	0	0	0	1
KDR	3791	5	1	1	1	1	0	1
KEL	3792	1	0	0	1	0	0	0
KIF5B	3799	2	0	0	0	1	0	1
KIT	3815	6	1	1	1	1	1	1
KLK2	3817	1	0	0	0	0	0	1
KRAS	3845	6	1	1	1	1	1	1
KTN1	3895	1	0	0	0	0	0	1
AFF3	3899	1	0	0	0	0	0	1
LASP1	3927	2	0	0	0	1	0	1
LCK	3932	2	0	1	0	0	0	1
LCP1	3936	2	0	0	0	1	0	1
LIFR	3977	1	0	0	0	0	0	1
LMNA	4000	1	0	0	0	0	0	1
LMO1	4004	5	1	1	1	1	0	1
LMO2	4005	2	0	0	0	1	0	1
LPP	4026	2	0	0	0	1	0	1
LTB	4050	1	0	1	0	0	0	0
LYL1	4066	2	0	0	0	1	0	1
LYN	4067	2	1	0	1	0	0	0
SH2D1A	4068	1	1	0	0	0	0	0
EPCAM	4072	1	1	0	0	0	0	0
SMAD2	4087	6	1	1	1	1	1	1
SMAD3	4088	3	1	0	1	0	0	1
SMAD4	4089	6	1	1	1	1	1	1
MAF	4094	2	0	0	0	1	0	1
MAX	4149	2	1	0	0	0	0	1
MCL1	4170	4	1	1	1	1	0	0
MDM2	4193	5	1	1	1	1	0	1
MDM4	4194	5	1	1	1	1	0	1
MEF2BNB-MEF2B	4207	0	0	0	0	0	0	0
MEF2C	4208	1	0	0	0	1	0	0
MAP3K1	4214	6	1	1	1	1	1	1
MEN1	4221	6	1	1	1	1	1	1
MET	4233	6	1	1	1	1	1	1
CIITA	4261	3	0	1	0	1	0	1
MITF	4286	5	1	1	1	1	0	1
MKI67	4288	1	0	0	0	1	0	0
MLF1	4291	2	0	0	0	1	0	1
MLH1	4292	6	1	1	1	1	1	1
KMT2A	4297	5	1	1	1	1	0	1
MLLT1	4298	2	0	0	0	1	0	1
AFF1	4299	2	0	0	0	1	0	1
MLLT3	4300	2	0	0	0	1	0	1
MLLT4	4301	2	0	0	0	1	0	1
MLLT6	4302	2	0	0	0	1	0	1
FOXO4	4303	2	0	0	0	1	0	1
MN1	4330	2	0	0	0	1	0	1
MPL	4352	6	1	1	1	1	1	1
MRE11A	4361	4	1	1	1	1	0	0
MSH2	4436	6	1	1	1	1	1	1
MSH3	4437	2	1	0	0	1	0	0
MSI1	4440	1	1	0	0	0	0	0
MSN	4478	2	0	0	0	1	0	1
MST1	4485	1	1	0	0	0	0	0
MST1R	4486	1	1	0	0	0	0	0
MTCP1	4515	1	0	0	0	0	0	1
MUC1	4582	2	0	0	0	1	0	1
MUTYH	4595	5	1	1	1	1	0	1
MYB	4602	3	0	0	1	1	0	1
MYC	4609	5	1	1	1	1	0	1
MYCL	4610	5	1	1	1	1	0	1
MYCN	4613	5	1	1	1	1	0	1
MYD88	4615	6	1	1	1	1	1	1
GADD45B	4616	1	0	0	0	1	0	0
MYH9	4627	2	0	0	0	1	0	1
MYH11	4629	2	0	0	0	1	0	1
MYO5A	4644	1	0	0	0	0	0	1
MYOD1	4654	2	1	0	0	0	0	1
NAB2	4665	1	0	0	0	0	0	1
NACA	4666	2	0	0	0	1	0	1
NBN	4683	3	1	1	0	0	0	1
NF1	4763	6	1	1	1	1	1	1
NF2	4771	6	1	1	1	1	1	1
NFATC2	4773	1	0	0	0	0	0	1
NFE2	4778	1	0	1	0	0	0	0
NFE2L2	4780	6	1	1	1	1	1	1
NFIB	4781	1	0	0	0	0	0	1
NFKB2	4791	2	0	0	0	1	0	1
NFKBIA	4792	3	1	0	1	1	0	0
NFKBIE	4794	1	0	0	0	0	0	1
NKX3-1	4824	1	1	0	0	0	0	0
NONO	4841	1	0	0	0	0	0	1
CNOT3	4849	1	0	0	0	0	0	1
NOTCH1	4851	6	1	1	1	1	1	1
NOTCH2	4853	6	1	1	1	1	1	1
NOTCH3	4854	3	1	1	1	0	0	0
NOTCH4	4855	2	1	1	0	0	0	0
NPM1	4869	6	1	1	1	1	1	1
NRAS	4893	6	1	1	1	1	1	1
NTHL1	4913	1	1	0	0	0	0	0
NTRK1	4914	5	1	1	1	1	0	1
NTRK2	4915	4	1	1	1	1	0	0
NTRK3	4916	5	1	1	1	1	0	1
DDR2	4921	5	1	1	1	1	0	1
NUMA1	4926	2	0	0	0	1	0	1
NUP98	4928	2	0	0	0	1	0	1
OMD	4958	2	0	0	0	1	0	1
FURIN	5045	1	0	1	0	0	0	0
PAFAH1B2	5049	2	0	0	0	1	0	1
PAK1	5058	1	1	0	0	0	0	0
PAK3	5063	2	0	0	1	1	0	0
PARK2	5071	2	1	0	1	0	0	0
PAX3	5077	2	0	0	0	1	0	1
PAX5	5079	6	1	1	1	1	1	1
PAX7	5081	2	0	0	0	1	0	1
PBX1	5087	2	0	0	0	1	0	1
PC	5091	1	0	0	0	1	0	0
PCBP1	5093	2	0	1	0	1	0	0
PCM1	5108	2	0	0	0	1	0	1
PDCD1	5133	3	1	1	0	1	0	0
PDGFB	5155	2	0	0	0	1	0	1
PDGFRA	5156	6	1	1	1	1	1	1
PDGFRB	5159	5	1	1	1	1	0	1
PDK1	5163	2	0	0	1	1	0	0
PDPK1	5170	2	1	1	0	0	0	0
PER1	5187	2	0	0	0	1	0	1
PGR	5241	1	1	0	0	0	0	0
PHF1	5252	1	0	0	0	1	0	0
PIGA	5277	1	0	1	0	0	0	0
PIK3C2B	5287	1	0	0	1	0	0	0
PIK3C2G	5288	2	1	1	0	0	0	0
PIK3C3	5289	2	1	1	0	0	0	0
PIK3CA	5290	6	1	1	1	1	1	1
PIK3CB	5291	2	1	0	1	0	0	0
PIM1	5292	4	1	1	0	1	0	1
PIK3CD	5293	1	1	0	0	0	0	0
PIK3CG	5294	4	1	1	1	1	0	0
PIK3R1	5295	6	1	1	1	1	1	1
PIK3R2	5296	4	1	1	1	1	0	0
PLAG1	5324	2	0	0	0	1	0	1
PLCG1	5335	2	0	1	0	0	0	1
PLCG2	5336	4	1	1	1	1	0	0
PMAIP1	5366	1	1	0	0	0	0	0
PML	5371	2	0	0	0	1	0	1
PMS1	5378	2	1	0	0	0	0	1
PMS2	5395	4	1	1	1	0	0	1
PRRX1	5396	2	0	0	0	1	0	1
SEPT5	5413	2	0	0	0	1	0	1
POLD1	5424	2	1	0	1	0	0	0
POLE	5426	3	1	0	1	0	0	1
POU2AF1	5450	2	0	0	0	1	0	1
POU5F1	5460	1	0	0	0	0	0	1
PPARG	5468	2	1	0	0	0	0	1
PPP1CB	5500	1	0	0	0	1	0	0
PPP2R1A	5518	6	1	1	1	1	1	1
PPP6C	5537	2	1	0	0	0	0	1
PRCC	5546	1	0	0	0	0	0	1
PRF1	5551	1	0	0	0	0	0	1
PRKACA	5566	1	0	0	0	0	0	1
PRKAR1A	5573	5	1	1	1	1	0	1
PRKCI	5584	2	1	0	1	0	0	0
PRKD1	5587	1	1	0	0	0	0	0
PRKDC	5591	2	0	0	1	1	0	0
MAPK1	5594	4	1	1	0	1	0	1
MAPK3	5595	2	1	1	0	0	0	0
MAP2K1	5604	6	1	1	1	1	1	1
MAP2K2	5605	5	1	1	1	1	0	1
PRSS1	5644	0	0	0	0	0	0	0
RELN	5649	1	0	0	0	1	0	0
PRSS8	5652	2	0	0	1	1	0	0
PTCH1	5727	6	1	1	1	1	1	1
PTEN	5728	6	1	1	1	1	1	1
PTK6	5753	1	0	0	0	0	0	1
PTK7	5754	1	0	0	0	1	0	0
PTPN1	5770	1	0	1	0	0	0	0
PTPN2	5771	2	0	1	0	1	0	0
PTPN6	5777	1	0	0	0	1	0	0
PTPN11	5781	6	1	1	1	1	1	1
PTPN13	5783	1	0	0	0	0	0	1
PTPRB	5787	1	0	0	0	0	0	1
PTPRC	5788	1	0	0	0	0	0	1
PTPRD	5789	1	1	0	0	0	0	0
PTPRK	5796	1	0	0	0	0	0	1
PTPRO	5800	1	0	0	0	1	0	0
PTPRS	5802	1	1	0	0	0	0	0
RAC1	5879	3	1	0	1	0	0	1
RAC2	5880	1	1	0	0	0	0	0
RAD21	5885	4	1	1	0	1	0	1
RAD51	5888	4	1	1	1	1	0	0
RAD51C	5889	2	1	1	0	0	0	0
RAD51B	5890	3	1	1	0	0	0	1
RAD51D	5892	2	1	1	0	0	0	0
RAD52	5893	2	1	1	0	0	0	0
RAF1	5894	5	1	1	1	1	0	1
RALGDS	5900	2	0	0	0	1	0	1
RANBP2	5903	2	0	0	1	0	0	1
RAP1GDS1	5910	2	0	0	0	1	0	1
RARA	5914	5	1	1	1	1	0	1
RASA1	5921	1	1	0	0	0	0	0
RB1	5925	6	1	1	1	1	1	1
ARID4A	5926	1	0	1	0	0	0	0
KDM5A	5927	5	1	1	1	1	0	1
RECQL	5965	1	1	0	0	0	0	0
REL	5966	3	1	1	0	0	0	1
UPF1	5976	1	1	0	0	0	0	0
RET	5979	6	1	1	1	1	1	1
TRIM27	5987	1	0	0	0	0	0	1
RHEB	6009	1	1	0	0	0	0	0
RIT1	6016	1	1	0	0	0	0	0
ROBO1	6091	1	0	1	0	0	0	0
ROS1	6098	5	1	1	1	1	0	1
RPL5	6125	1	0	0	0	0	0	1
RPL10	6134	1	0	0	0	0	0	1
RPL22	6146	2	0	0	0	1	0	1
RPN1	6184	2	0	0	0	1	0	1
RPS6KB2	6199	1	1	0	0	0	0	0
RRAS	6237	1	1	0	0	0	0	0
CLIP1	6249	1	0	0	0	0	0	1
RXRA	6256	1	1	0	0	0	0	0
ATXN2	6311	1	0	1	0	0	0	0
SDC4	6385	1	0	0	0	0	0	1
SDHA	6389	5	1	1	1	1	0	1
SDHB	6390	5	1	1	1	1	0	1
SDHC	6391	5	1	1	1	1	0	1
SDHD	6392	5	1	1	1	1	0	1
MAP2K4	6416	5	1	1	1	1	0	1
SET	6418	2	0	0	0	1	0	1
SFRP4	6424	1	0	0	0	0	0	1
SRSF2	6427	5	1	1	0	1	1	1
SRSF3	6428	2	0	0	0	1	0	1
SGK1	6446	2	0	1	0	1	0	0
SH3GL1	6455	2	0	0	0	1	0	1
STIL	6491	1	0	0	0	0	0	1
SLC1A2	6506	1	0	0	0	1	0	0
SMARCA1	6594	1	0	0	0	1	0	0
SMARCA4	6597	6	1	1	1	1	1	1
SMARCB1	6598	6	1	1	1	1	1	1
SMARCD1	6602	3	1	1	0	0	0	1
SMARCE1	6605	1	0	0	0	0	0	1
SMO	6608	6	1	1	1	1	1	1
SOS1	6654	1	1	0	0	0	0	0
SOX2	6657	5	1	1	1	1	0	1
SOX9	6662	3	1	0	1	0	1	0
SOX10	6663	2	0	0	1	1	0	0
SPTA1	6708	1	0	0	1	0	0	0
SRC	6714	5	1	1	1	1	0	1
SSX1	6756	2	0	0	0	1	0	1
SSX2	6757	2	0	0	0	1	0	1
SSX4	6759	2	0	0	0	1	0	1
SS18	6760	2	0	0	0	1	0	1
STAT3	6774	5	1	1	1	1	0	1
STAT4	6775	2	0	0	1	1	0	0
STAT5A	6776	3	1	1	0	1	0	0
STAT5B	6777	4	1	1	0	1	0	1
STAT6	6778	3	0	1	0	1	0	1
AURKA	6790	4	1	1	1	1	0	0
STK11	6794	6	1	1	1	1	1	1
STRN	6801	1	0	0	0	0	0	1
SYK	6850	5	1	1	1	1	0	1
TAF1	6872	2	0	0	1	1	0	0
MAP3K7	6885	1	0	0	0	1	0	0
TAL1	6886	2	0	0	0	1	0	1
TAL2	6887	2	0	0	0	1	0	1
TAP1	6890	1	1	0	0	0	0	0
TAP2	6891	1	1	0	0	0	0	0
TCEA1	6917	1	0	0	0	0	0	1
TCEB1	6921	1	1	0	0	0	0	0
TBX3	6926	4	1	1	1	0	0	1
HNF1A	6927	6	1	1	1	1	1	1
TCF3	6929	3	1	0	0	1	0	1
TCF7L2	6934	2	1	0	0	0	0	1
TCF12	6938	1	0	0	0	0	0	1
TRA	6955	1	0	0	0	0	0	1
TRB	6957	1	0	0	0	0	0	1
TRD	6964	1	0	0	0	0	0	1
TRG	6965	1	0	0	0	1	0	0
TEK	7010	1	1	0	0	0	0	0
TERC	7012	1	0	0	1	0	0	0
TERT	7015	4	1	1	1	0	0	1
TFE3	7030	2	0	0	0	1	0	1
TFRC	7037	2	0	0	0	1	0	1
TGFBR1	7046	1	1	0	0	0	0	0
TGFBR2	7048	5	1	1	1	1	0	1
NKX2-1	7080	5	1	1	1	1	0	1
TLL2	7093	1	0	0	0	1	0	0
TMPRSS2	7113	4	1	0	1	1	0	1
TMSB4XP8	7117	1	0	0	0	1	0	0
TNFAIP3	7128	6	1	1	1	1	1	1
TOP1	7150	5	1	1	1	1	0	1
TOP2A	7153	1	0	0	1	0	0	0
TP53	7157	6	1	1	1	1	1	1
TP53BP1	7158	1	1	0	0	0	0	0
TPM3	7170	2	0	0	0	1	0	1
TPM4	7171	2	0	0	0	1	0	1
TPR	7175	1	0	0	0	0	0	1
TRAF2	7186	3	1	1	0	1	0	0
TRAF3	7187	2	0	1	0	1	0	0
TRAF5	7188	2	0	1	0	1	0	0
TSC1	7248	6	1	1	1	1	1	1
TSC2	7249	5	1	1	1	1	0	1
TSHR	7253	6	1	1	1	1	1	1
TYK2	7297	2	0	1	0	1	0	0
U2AF1	7307	6	1	1	1	1	1	1
KDM6A	7403	6	1	1	1	1	1	1
VAV1	7409	1	0	1	0	0	0	0
VAV2	7410	1	0	1	0	0	0	0
VEGFA	7422	2	1	0	1	0	0	0
VHL	7428	6	1	1	1	1	1	1
EZR	7430	1	0	0	0	0	0	1
WAS	7454	1	0	0	0	0	0	1
WHSC1	7468	4	1	1	0	1	0	1
WRN	7486	1	0	0	0	0	0	1
WT1	7490	6	1	1	1	1	1	1
XBP1	7494	2	0	1	0	1	0	0
XPA	7507	1	0	0	0	0	0	1
XPC	7508	1	0	0	0	0	0	1
XPO1	7514	5	1	1	1	1	0	1
XRCC2	7516	1	1	0	0	0	0	0
YES1	7525	1	1	0	0	0	0	0
YWHAE	7531	1	0	0	0	0	0	1
CNBP	7555	1	0	0	0	0	0	1
ZNF24	7572	1	0	0	0	1	0	0
ZBTB16	7704	2	0	0	0	1	0	1
ZMYM2	7750	2	0	0	0	1	0	1
ZNF217	7764	2	0	0	1	1	0	0
PTP4A1	7803	1	1	0	0	0	0	0
CSDE1	7812	1	1	0	0	0	0	0
BTG2	7832	1	0	0	0	1	0	0
PAX8	7849	1	0	0	0	0	0	1
CXCR4	7852	4	1	1	0	1	0	1
DEK	7913	2	0	0	0	1	0	1
TFEB	7942	1	0	0	0	0	0	1
RNF217-AS1	7955	2	0	0	0	1	0	1
TUSC3	7991	1	0	0	0	1	0	0
KAT6A	7994	3	0	0	1	1	0	1
NR4A3	8013	2	0	0	0	1	0	1
BRD3	8019	1	0	0	0	0	0	1
